%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
122	34.0171	45.0482	0	0	2967.5	0.739612	0.750208	1523020140162
123	33.8406	44.9441	0	0	2978	0.675598	0.717579	1523020140194
124	32.9518	44.6844	0	0	2983.5	0.684277	0.702028	1523020140226
162	33.5751	100.835	0	0	2757.5	2.32424	0.749989	1523020141506
163	37.3152	103.652	0	0	2788	2.18569	0.729207	1523020141538
164	41.0159	106.066	0	0	2786.5	1.857	0.691976	1523020141571
165	44.0778	107.768	0	0	2763.5	1.95975	0.722136	1523020141603
166	47.6519	109.524	0	0	2780.5	2.08277	0.645766	1523020141634
167	51.4268	111.621	0	0	2781.5	1.99013	0.715977	1523020141667
168	55.3974	113.919	0	0	2785.5	1.48389	0.660979	1523020141699
169	59.4066	115.886	0	0	2794.5	1.89214	0.724749	1523020141730
170	63.1528	117.647	0	0	2795.5	2.19412	0.704554	1523020141779
171	66.1	119.132	0	0	2772	1.98062	0.694979	1523020141810
172	69.3808	120.52	0	0	2766.5	1.81298	0.74194	1523020141842
173	73.0494	122.177	0	0	2770.5	1.61843	0.735033	1523020141874
174	77.052	123.928	0	0	2777	1.65017	0.716392	1523020141907
175	81.7121	125.674	0	0	2789	1.39475	0.658452	1523020141938
176	86.3042	127.464	0	0	2829	0.584547	0.617788	1523020141971
177	90.0722	128.896	0	0	2823.5	0.525406	0.636371	1523020142003
178	93.2166	130.021	0	0	2813.5	0.626649	0.638591	1523020142034
179	95.891	130.887	0	0	2779.5	1.52514	0.671174	1523020142066
180	99.7502	132.203	0	0	2772.5	1.51889	0.696614	1523020142098
181	103.977	133.699	0	0	2800	1.05926	0.649733	1523020142147
182	108.114	134.892	0	0	2802.5	1.12624	0.669828	1523020142178
183	112.249	136.053	0	0	2802	0.853602	0.702501	1523020142211
184	115.872	137.043	0	0	2800	0.883759	0.701999	1523020142243
185	119.006	137.982	0	0	2814	0.937895	0.632928	1523020142275
186	121.44	138.686	0	0	2797.5	0.991562	0.645896	1523020142307
187	124.932	139.749	0	0	2796	1.04063	0.688635	1523020142339
188	128.974	140.885	0	0	2798	0.997766	0.658616	1523020142371
189	133.016	142.033	0	0	2808	0.852804	0.613202	1523020142404
190	136.501	142.873	0	0	2798.5	0.970198	0.697965	1523020142435
191	140.273	143.816	0	0	2812	0.87561	0.659139	1523020142467
192	143.301	144.498	0	0	2797.5	0.980448	0.668633	1523020142515
193	147.047	145.544	0	0	2805.5	0.94806	0.61566	1523020142547
194	151.222	146.675	0	0	2797.5	1.02127	0.659072	1523020142579
195	155.799	147.849	0	0	2797	0.839196	0.660341	1523020142611
196	160.336	149.354	0	0	2796	0.95206	0.676597	1523020142642
197	165.292	150.788	0	0	2802.5	0.890024	0.701105	1523020142674
198	169.545	152.096	0	0	2804	0.762632	0.742264	1523020142706
199	173.277	153.2	0	0	2796	0.760479	0.803998	1523020142739
200	176.613	154.206	0	0	2791.5	0.763466	0.820213	1523020142771
201	179.503	155.075	0	0	2793.5	0.73289	0.814262	1523020142805
202	182.108	155.86	0	0	2774.5	0.942796	0.766385	1523020142835
203	184.539	156.607	0	0	2797.5	0.615235	0.680455	1523020142882
204	186.564	157.289	0	0	2797.5	0.619839	0.63496	1523020142915
205	189.709	158.295	0	0	2783.5	0.953198	0.721896	1523020142946
206	193.24	159.305	0	0	2788	0.827147	0.686665	1523020142978
207	196.44	160.251	0	0	2785	0.726463	0.680921	1523020143010
208	198.946	161.097	0	0	2775	0.98508	0.715876	1523020143042
209	201.864	161.956	0	0	2774.5	1.10073	0.706659	1523020143074
210	205.334	163.046	0	0	2790	0.76772	0.653982	1523020143106
211	208.88	164.159	0	0	2768.5	0.687508	0.678338	1523020143138
212	212.244	165.314	0	0	2776.5	0.850605	0.731048	1523020143171
213	215.986	166.424	0	0	2780.5	0.93478	0.713501	1523020143204
214	219.678	167.422	0	0	2775	0.783861	0.76827	1523020143250
215	223	168.452	0	0	2762.5	0.989396	0.76062	1523020143282
216	226.003	169.465	0	0	2756	1.12051	0.757109	1523020143314
217	229.014	170.417	0	0	2779	0.647202	0.784033	1523020143346
218	232.212	171.583	0	0	2767	0.936453	0.774553	1523020143378
219	235.329	172.885	0	0	2748.5	1.12134	0.779751	1523020143411
220	239.044	174.236	0	0	2766	0.916744	0.780365	1523020143443
221	242.654	175.604	0	0	2750.5	1.06745	0.795367	1523020143475
222	246.208	176.916	0	0	2735.5	1.12428	0.769988	1523020143507
223	249.716	178.163	0	0	2747	1.03876	0.827712	1523020143540
224	252.46	179.141	0	0	2738.5	1.11812	0.785639	1523020143576
225	255.103	180.029	0	0	2751	0.930927	0.791059	1523020143619
226	258.255	181.131	0	0	2745	1.09613	0.783113	1523020143651
227	261.703	182.37	0	0	2744.5	1.10782	0.809086	1523020143683
228	265.058	183.649	0	0	2743	1.10332	0.81984	1523020143715
229	268.801	185.05	0	0	2724	1.17538	0.798504	1523020143747
230	272.462	186.299	0	0	2726	1.12762	0.824152	1523020143779
231	275.769	187.469	0	0	2717	1.34478	0.837792	1523020143811
232	278.484	188.392	0	0	2714	1.25819	0.857865	1523020143843
233	280.732	189.138	0	0	2725	1.16907	0.830588	1523020143875
234	284.005	190.336	0	0	2717.5	1.33119	0.833103	1523020143907
235	287.549	191.663	0	0	2708.5	1.31912	0.851117	1523020143938
