%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
0	539.242	401.261	0	0	2703.5	0.869361	0.669321	1523020136092
1	487.278	407.215	0	0	2775	0.794467	0.838967	1523020136114
2	484.586	407.934	0	0	2778.5	0.857597	0.733878	1523020136147
3	481.325	408.479	0	0	2769	0.861577	0.820962	1523020136178
4	477.508	408.926	0	0	2771.5	0.848439	0.817046	1523020136210
5	474.114	409.106	0	0	2764	0.930105	0.81023	1523020136243
6	470.067	409.112	0	0	2752.5	0.931265	0.811445	1523020136275
7	465.898	408.92	0	0	2758	0.947195	0.817701	1523020136323
8	461.686	408.498	0	0	2749	0.932919	0.784254	1523020136355
9	457.072	407.77	0	0	2755.5	0.88524	0.784293	1523020136387
10	452.571	406.638	0	0	2763	0.942131	0.784614	1523020136418
11	447.993	405.356	0	0	2735.5	1.0368	0.763984	1523020136450
12	443.139	403.544	0	0	2743.5	1.01289	0.818052	1523020136483
13	438.6	401.601	0	0	2747	1.0662	0.768954	1523020136515
14	434.107	399.633	0	0	2753	0.950775	0.79424	1523020136547
15	429.881	397.469	0	0	2749	0.936431	0.778098	1523020136579
16	425.607	395.231	0	0	2743.5	0.918221	0.795962	1523020136610
17	421.533	392.796	0	0	2742	0.924255	0.806452	1523020136642
18	417.821	390.562	0	0	2756	0.921525	0.792496	1523020136691
19	413.855	388.258	0	0	2738.5	0.935768	0.825964	1523020136723
20	409.978	385.871	0	0	2745.5	0.996199	0.809381	1523020136755
21	406.502	383.697	0	0	2740.5	1.0708	0.8106	1523020136786
22	402.72	381.289	0	0	2737	1.01612	0.811475	1523020136818
23	399.098	378.855	0	0	2741	1.03193	0.812661	1523020136851
24	395.612	376.491	0	0	2741.5	1.00644	0.817455	1523020136882
41	339.431	335.116	0	0	2725.5	1.44048	0.825967	1523020137458
42	336.465	332.778	0	0	2735	1.40567	0.833636	1523020137491
43	333.471	330.416	0	0	2731.5	1.44878	0.840242	1523020137523
44	330.26	327.764	0	0	2728.5	1.4841	0.836476	1523020137555
45	326.782	324.916	0	0	2723	1.58322	0.846578	1523020137587
46	323.562	322.366	0	0	2710	1.60412	0.842536	1523020137619
47	320.593	319.973	0	0	2715	1.5752	0.834336	1523020137650
48	317.657	317.762	0	0	2717.5	1.57852	0.830286	1523020137683
49	314.75	315.629	0	0	2710	1.63985	0.842536	1523020137715
50	311.258	313.002	0	0	2705.5	1.56952	0.8531	1523020137748
51	307.88	310.501	0	0	2712	1.60813	0.843158	1523020137795
52	304.605	308.342	0	0	2715.5	1.5805	0.846288	1523020137827
53	301.422	306.112	0	0	2713.5	1.66856	0.855623	1523020137858
54	298.522	304.18	0	0	2707	1.68517	0.865799	1523020137891
55	295.691	302.133	0	0	2707.5	1.65139	0.868084	1523020137923
56	292.712	300.113	0	0	2711	1.67177	0.856917	1523020137955
57	289.501	298.115	0	0	2704.5	1.67632	0.870137	1523020137987
58	286.081	296.037	0	0	2715.5	1.72004	0.863406	1523020138018
59	282.753	293.981	0	0	2705	1.70118	0.875481	1523020138050
60	279.85	292.081	0	0	2713.5	1.66706	0.873032	1523020138083
61	276.629	290.011	0	0	2706.5	1.78045	0.878128	1523020138114
62	273.015	287.746	0	0	2715	1.79191	0.868358	1523020138162
63	269.415	285.518	0	0	2705.5	1.8806	0.877804	1523020138194
64	266.224	283.549	0	0	2704	1.83655	0.882565	1523020138226
65	263.165	281.81	0	0	2691	1.91241	0.881402	1523020138261
66	260.003	280.085	0	0	2693.5	1.97104	0.876967	1523020138291
67	256.834	278.293	0	0	2694	2.04152	0.889899	1523020138323
68	253.523	276.379	0	0	2690.5	1.96431	0.890958	1523020138358
85	194.669	246.49	0	0	2722.5	-0.386599	0.893934	1523020138930
86	191.303	245.06	0	0	2732	-0.278212	0.894832	1523020138963
87	187.334	243.452	0	0	2736	-0.12185	0.893009	1523020138995
88	183.846	242.008	0	0	2742	-0.2103	0.887456	1523020139026
89	180.271	240.585	0	0	2737	-0.144448	0.893336	1523020139058
90	176.571	239.099	0	0	2744	-0.087524	0.880681	1523020139090
91	173.001	237.807	0	0	2749.5	-0.181482	0.874217	1523020139122
92	169.375	236.321	0	0	2743.5	-0.0492659	0.882684	1523020139155
93	165.456	234.685	0	0	2759	-0.0457393	0.875099	1523020139187
94	161.472	233.098	0	0	2758.5	-0.058236	0.880115	1523020139234
95	157.553	231.682	0	0	2759	-0.0308789	0.875099	1523020139266
96	153.765	230.267	0	0	2754	-0.0368156	0.880832	1523020139298
97	150.367	228.921	0	0	2772	0.0243998	0.861812	1523020139330
98	146.52	227.794	0	0	2770	-0.0825503	0.858257	1523020139362
99	142.829	226.665	0	0	2794.5	0.101419	0.844029	1523020139394
100	139.2	225.536	0	0	2778	0.063512	0.853696	1523020139426
101	135.738	224.436	0	0	2791.5	0.0389854	0.836315	1523020139458
102	131.819	223.201	0	0	2795.5	0.123312	0.857016	1523020139490
103	128.214	222.096	0	0	2812	0.127489	0.82704	1523020139524
104	124.969	221.074	0	0	2811.5	0.0749885	0.842306	1523020139556
105	120.935	219.795	0	0	2811.5	0.120515	0.842306	1523020139603
106	116.853	218.562	0	0	2815.5	0.107023	0.83672	1523020139635
107	113.121	217.338	0	0	2835.5	0.15235	0.829244	1523020139667
108	109.754	216.354	0	0	2835	0.175988	0.82443	1523020139699
109	106.75	215.51	0	0	2828	0.174461	0.819686	1523020139731
110	103.322	214.614	0	0	2845.5	0.171459	0.829419	1523020139763
111	99.7912	213.729	0	0	2843	0.172842	0.826757	1523020139795
112	96.4331	212.832	0	0	2853	0.181704	0.820389	1523020139827
113	93.0966	211.827	0	0	2857.5	0.18885	0.832917	1523020139859
114	89.7503	211.052	0	0	2857.5	0.172669	0.826309	1523020139891
115	86.1992	210.284	0	0	2864	0.199343	0.808013	1523020139923
116	81.9501	209.366	0	0	2883.5	0.176996	0.796493	1523020139971
117	78.2645	208.656	0	0	2877.5	0.175375	0.829359	1523020140003
118	74.2926	207.837	0	0	2878.5	0.21138	0.829647	1523020140035
119	70.4861	206.984	0	0	2884.5	0.164166	0.809297	1523020140067
120	66.6743	206.229	0	0	2894	0.163763	0.810103	1523020140098
121	62.9798	205.475	0	0	2906.5	0.210455	0.81547	1523020140130
122	58.8918	204.672	0	0	2903.5	0.182617	0.814628	1523020140162
123	54.9454	203.844	0	0	2909.5	0.165946	0.809956	1523020140194
124	51.1672	203.126	0	0	2911	0.165011	0.793529	1523020140226
125	46.7907	202.268	0	0	2895.5	0.154318	0.787522	1523020140258
126	42.8133	201.572	0	0	2888	0.105565	0.767918	1523020140290
127	39.4172	200.955	0	0	2889.5	0.173279	0.572752	1523020140338
128	35.9088	200.445	0	0	2872.5	0.0341667	0.767931	1523020140371
129	33.4489	199.961	0	0	2877.5	0.145312	0.694838	1523020140402
188	33.588	134.244	0	0	2903.5	0.426906	0.718836	1523020142371
189	36.64	130.615	0	0	2896	0.46209	0.778415	1523020142404
190	39.9776	126.752	0	0	2893	0.493311	0.780084	1523020142435
191	43.3361	123.235	0	0	2904	0.46375	0.733493	1523020142467
192	46.1669	120.15	0	0	2907.5	0.44027	0.719826	1523020142515
193	48.8039	117.023	0	0	2909.5	0.476075	0.794916	1523020142547
194	51.416	113.963	0	0	2900.5	0.509616	0.792457	1523020142579
195	54.281	110.967	0	0	2914.5	0.442022	0.732293	1523020142611
196	56.9438	107.599	0	0	2913	0.504323	0.785476	1523020142642
197	59.6224	104.283	0	0	2919.5	0.48529	0.762901	1523020142674
198	62.1507	101.205	0	0	2907	0.49896	0.757956	1523020142706
199	64.8091	97.6645	0	0	2910.5	0.534536	0.80137	1523020142739
200	67.7841	94.1093	0	0	2924.5	0.515181	0.739338	1523020142771
201	70.2143	91.0821	0	0	2905	0.561081	0.791893	1523020142805
202	72.8163	88.1276	0	0	2925.5	0.545066	0.766867	1523020142835
203	75.864	84.6633	0	0	2913.5	0.540252	0.789893	1523020142882
204	78.6381	81.2283	0	0	2921	0.59489	0.787634	1523020142915
205	81.5209	77.7916	0	0	2926	0.542089	0.76291	1523020142946
206	84.4219	74.3823	0	0	2931	0.580907	0.792849	1523020142978
207	87.0213	71.3157	0	0	2925	0.620759	0.774295	1523020143010
208	89.4762	68.261	0	0	2925.5	0.625871	0.795682	1523020143042
209	91.9728	65.3233	0	0	2924.5	0.624565	0.778344	1523020143074
210	94.4451	62.2831	0	0	2927	0.635429	0.806672	1523020143106
211	97.2732	59.069	0	0	2929	0.632521	0.783762	1523020143138
212	100.187	55.5761	0	0	2928.5	0.673766	0.802674	1523020143171
213	102.789	52.4334	0	0	2926	0.698438	0.800174	1523020143204
214	105.164	49.7481	0	0	2939.5	0.70117	0.805689	1523020143250
215	107.329	47.1393	0	0	2917.5	0.690821	0.830403	1523020143282
216	109.584	44.4445	0	0	2935.5	0.728056	0.798402	1523020143314
217	112.221	41.5589	0	0	2931.5	0.707876	0.788691	1523020143346
218	114.979	38.43	0	0	2925.5	0.764009	0.817048	1523020143378
219	117.667	35.3956	0	0	2943	0.732598	0.802252	1523020143411
220	119.995	32.8253	0	0	2927.5	0.74681	0.796226	1523020143443
247	218.418	34.1697	0	0	2895	1.07515	0.735742	1523020144354
248	222.669	36.5313	0	0	2905	1.05767	0.738283	1523020144387
283	442.839	253.328	0	0	2681.5	0.712291	0.898759	1523020145556
284	446.045	254.559	0	0	2683	0.68559	0.893844	1523020145587
285	449.401	255.868	0	0	2693	0.845073	0.889568	1523020145620
286	452.991	257.148	0	0	2693.5	0.851112	0.895103	1523020145650
287	456.363	258.478	0	0	2693.5	0.548992	0.902781	1523020145682
288	459.535	259.65	0	0	2701	0.589789	0.884678	1523020145715
289	462.478	260.658	0	0	2697	0.619256	0.89089	1523020145747
290	465.336	261.642	0	0	2698.5	0.550659	0.896765	1523020145794
291	468.357	262.694	0	0	2697	0.527877	0.89089	1523020145826
292	471.738	263.995	0	0	2701	0.498765	0.884678	1523020145858
293	475.279	265.272	0	0	2701	0.557997	0.89984	1523020145890
